target,model,threshold
resu,RandomForest,0.1927350050019029
resu,XGBoost,0.110970139503479
resu,LightGBM,0.07650820248385053
resu,RandomForest,0.1927350050019029
resuo,RandomForest,0.19046844564922139
resuo,XGBoost,0.16340389847755432
resuo,LightGBM,0.17159957487715652
resuo,LightGBM,0.17159957487715652
resup,RandomForest,0.24681972779646974
resup,XGBoost,0.19427725672721863
resup,LightGBM,0.19829407132901983
resup,LightGBM,0.19829407132901983
resui,RandomForest,0.37128540628423556
resui,XGBoost,0.3560009002685547
resui,LightGBM,0.35076574348509015
resui,XGBoost,0.3560009002685547
resuh,RandomForest,0.6200338726832844
resuh,XGBoost,0.6101230978965759
resuh,LightGBM,0.456015886408146
resuh,RandomForest,0.6200338726832844
resue,RandomForest,0.6465082554231453
resue,XGBoost,0.6976876854896545
resue,LightGBM,0.47829318973464996
resue,RandomForest,0.6465082554231453
resuc,RandomForest,0.5225940883877349
resuc,XGBoost,0.5686560869216919
resuc,LightGBM,0.5643238178159531
resuc,LightGBM,0.5643238178159531
rds,RandomForest,0.25725463116433167
rds,XGBoost,0.2149183452129364
rds,LightGBM,0.21700169575857084
rds,LightGBM,0.21700169575857084
sft,RandomForest,0.2501887739963888
sft,XGBoost,0.21314290165901184
sft,LightGBM,0.22423244106070878
sft,XGBoost,0.21314290165901184
sftw,RandomForest,0.50253950353549
sftw,XGBoost,0.537883460521698
sftw,LightGBM,0.5368130815345998
sftw,XGBoost,0.537883460521698
als,RandomForest,0.5324630709303346
als,XGBoost,0.5665795207023621
als,LightGBM,0.4466798535986666
als,RandomForest,0.5324630709303346
mph,RandomForest,0.5506905836239712
mph,XGBoost,0.5186887383460999
mph,LightGBM,0.40548802959572516
mph,RandomForest,0.5506905836239712
ph,RandomForest,0.542355167078967
ph,XGBoost,0.5384138226509094
ph,LightGBM,0.4929173146276421
ph,RandomForest,0.542355167078967
bpdyn,RandomForest,0.3309903862385699
bpdyn,XGBoost,0.3105250895023346
bpdyn,LightGBM,0.337801466648488
bpdyn,XGBoost,0.3105250895023346
bpdm,RandomForest,0.4326519090128048
bpdm,XGBoost,0.46264880895614624
bpdm,LightGBM,0.4694349129591416
bpdm,XGBoost,0.46264880895614624
pdad,RandomForest,0.42806998073975827
pdad,XGBoost,0.4861516058444977
pdad,LightGBM,0.46435746046083803
pdad,XGBoost,0.4861516058444977
acl,RandomForest,0.49609918198652003
acl,XGBoost,0.46719890832901
acl,LightGBM,0.39701839826382024
acl,RandomForest,0.49609918198652003
lbp,RandomForest,0.5073127884990003
lbp,XGBoost,0.5479238629341125
lbp,LightGBM,0.530709467013269
lbp,XGBoost,0.5479238629341125
ivh2,RandomForest,0.5648365415270661
ivh2,XGBoost,0.6213930249214172
ivh2,LightGBM,0.5746704057818602
ivh2,XGBoost,0.6213930249214172
ivh3,RandomForest,0.5557119980912264
ivh3,XGBoost,0.5187734365463257
ivh3,LightGBM,0.45090062456581215
ivh3,RandomForest,0.5557119980912264
pvl,RandomForest,0.4048923487033149
pvl,XGBoost,0.4080330431461334
pvl,LightGBM,0.24790930734311628
pvl,LightGBM,0.24790930734311628
seps,RandomForest,0.4650704566725955
seps,XGBoost,0.5508248209953308
seps,LightGBM,0.5434981715165332
seps,LightGBM,0.5434981715165332
ntet,RandomForest,0.5173068429311656
ntet,XGBoost,0.5004020929336548
ntet,LightGBM,0.3829065874272066
ntet,RandomForest,0.5173068429311656
pmio,RandomForest,0.5100067757709981
pmio,XGBoost,0.5206605195999146
pmio,LightGBM,0.45643774272694115
pmio,RandomForest,0.5100067757709981
eythtran,RandomForest,0.3430155496441366
eythtran,XGBoost,0.33431461453437805
eythtran,LightGBM,0.33364222467796056
eythtran,LightGBM,0.33364222467796056
deathyn,RandomForest,0.6910149591943064
deathyn,XGBoost,0.728091835975647
deathyn,LightGBM,0.7289570039583778
deathyn,XGBoost,0.728091835975647
supyn,RandomForest,0.5030555053271837
supyn,XGBoost,0.5961962342262268
supyn,LightGBM,0.5418352740204215
supyn,LightGBM,0.5418352740204215
